who,what
362,NON-MINORITY
362,WBE
362,New York
362,10022
363,11106
363,Astoria
363,MBE
363,HISPANIC
364,10004
364,NON-MINORITY
364,WBE
364,New York
365,Woodside
365,NON-MINORITY
365,WBE
365,11377
366,11694
366,Rockaway Park
366,MBE
366,HISPANIC
367,Bronx
367,10466
367,BLACK
367,MBE
368,New York
368,BLACK
368,MBE
368,10004
369,11561
369,Long Beach
369,WBE
369,ASIAN
369,MBE
370,10120
370,New York
370,ASIAN
370,MBE
371,Jamaica
371,BLACK
371,MBE
371,11434
372,BLACK
372,10030
372,New York
372,WBE
372,MBE
373,BLACK
373,Tenafly
373,MBE
373,7670
374,Brooklyn
374,BLACK
374,11210
374,MBE
375,10451
375,Bronx
375,MBE
375,HISPANIC
376,NON-MINORITY
376,WBE
376,New York
376,10009
377,10016
377,New York
377,ASIAN
377,MBE
378,LBE
378,Brooklyn
378,11231
378,HISPANIC
378,MBE
379,10553
379,BLACK
379,MBE
379,Mt. Vernon
380,LBE
380,Brooklyn
380,BLACK
380,11216
380,MBE
381,10701
381,Yonkers
381,BLACK
381,MBE
382,10025
382,New York
382,MBE
382,HISPANIC
383,Bronx
383,BLACK
383,MBE
383,10457
384,10312
384,NON-MINORITY
384,WBE
384,Staten Island
385,10314
385,NON-MINORITY
385,WBE
385,Staten Island
386,LBE
386,10302
386,Staten Island
387,NON-MINORITY
387,WBE
387,10594
387,Thornwood
388,10168
388,New York
388,MBE
388,HISPANIC
389,11419
389,Richmond Hill
389,BLACK
389,MBE
390,Brooklyn
390,11218
390,HISPANIC
390,WBE
390,MBE
391,10075
391,NON-MINORITY
391,WBE
391,New York
392,11411
392,BLACK
392,MBE
392,Cambria Heights
393,10005
393,NON-MINORITY
393,WBE
393,New York
394,11722
394,Central Islip
394,MBE
394,HISPANIC
395,BLACK
395,10026
395,New York
395,WBE
395,MBE
396,Brooklyn
396,BLACK
396,11205
396,WBE
396,MBE
397,Bronx
397,10475
397,BLACK
397,MBE
398,New York
398,10018
398,BLACK
398,MBE
399,LBE
399,10314
399,Staten Island
400,11205
400,Brooklyn
400,ASIAN
400,MBE
401,Bronx
401,10454
401,HISPANIC
401,WBE
401,MBE
402,10550
402,Mt. Vernon
402,MBE
402,HISPANIC
403,11433
403,Jamaica
403,MBE
403,HISPANIC
404,New York
404,BLACK
404,MBE
404,10004
405,Syosset
405,11791
405,MBE
405,HISPANIC
406,10469
406,Bronx
406,MBE
406,HISPANIC
407,Brooklyn
407,11226
407,BLACK
407,MBE
408,10993
408,West Haverstraw
408,MBE
408,HISPANIC
409,Bronx
409,BLACK
409,WBE
409,10458
409,MBE
410,Brooklyn
410,BLACK
410,11216
410,WBE
410,MBE
411,NON-MINORITY
411,10012
411,WBE
411,New York
412,Long Island City
412,NON-MINORITY
412,11101
412,WBE
413,11501
413,Mineola
413,BLACK
413,MBE
414,Oakhurst
414,NON-MINORITY
414,WBE
414,7755
415,10029
415,New York
415,MBE
415,HISPANIC
416,10038
416,New York
416,MBE
416,HISPANIC
417,8812
417,WBE
417,ASIAN
417,MBE
417,Greenbrook
418,10553
418,BLACK
418,Mount Vernon
418,MBE
419,10456
419,Bronx
419,MBE
419,HISPANIC
420,LBE
420,Astoria
420,11106
420,ASIAN
420,MBE
421,LBE
421,MBE
421,Roslyn
421,HISPANIC
421,11576
422,Lyndhurst
422,7071
422,BLACK
422,MBE
423,BLACK
423,10031
423,New York
423,WBE
423,MBE
424,NON-MINORITY
424,WBE
424,New York
424,10013
425,Brooklyn
425,11226
425,BLACK
425,MBE
426,Bronx
426,BLACK
426,MBE
426,10467
427,NON-MINORITY
427,WBE
427,7645
427,Montvale
428,NON-MINORITY
428,10023
428,WBE
428,New York
429,NON-MINORITY
429,WBE
429,Congers
429,10920
430,Brooklyn
430,ASIAN
430,MBE
430,11207
431,10034
431,New York
431,MBE
431,HISPANIC
432,NON-MINORITY
432,WBE
432,New York
432,10018
433,10703
433,Yonkers
433,BLACK
433,MBE
434,10708
434,NON-MINORITY
434,WBE
434,Bronxville
435,10016
435,NON-MINORITY
435,WBE
435,New York
436,WBE
436,West Islip
436,11795
436,ASIAN
436,MBE
437,Far Rockaway
437,11691
437,MBE
437,HISPANIC
438,10001
438,NON-MINORITY
438,WBE
438,New York
439,Brooklyn
439,11205
439,BLACK
439,MBE
440,7661
440,ASIAN
440,MBE
440,River Edge
441,10037
441,BLACK
441,New York
441,WBE
441,MBE
442,10001
442,New York
442,ASIAN
442,MBE
443,Mountainside
443,ASIAN
443,MBE
443,7092
444,Brooklyn
444,11220
444,BLACK
444,MBE
445,NON-MINORITY
445,WBE
445,11215
445,Brooklyn
446,10024
446,NON-MINORITY
446,WBE
446,New York
447,NON-MINORITY
447,WBE
447,10017
447,New York
448,11101
448,Long Island City
448,WBE
448,ASIAN
448,MBE
449,10007
449,New York
449,ASIAN
449,MBE
450,11208
450,NON-MINORITY
450,WBE
450,Brooklyn
451,11385
451,NON-MINORITY
451,WBE
451,Glendale
452,11218
452,NON-MINORITY
452,WBE
452,Brooklyn
453,NON-MINORITY
453,WBE
453,11234
453,Brooklyn
454,10004
454,New York
454,ASIAN
454,MBE
455,Bronx
455,10455
455,MBE
455,HISPANIC
456,NON-MINORITY
456,WBE
456,New York
456,10010
457,LBE
457,10475
457,Bronx
458,Hazlet
458,NON-MINORITY
458,WBE
458,7730
459,10530
459,BLACK
459,Hartsdale
459,MBE
460,10306
460,ASIAN
460,MBE
460,Staten Island
461,Brooklyn
461,11226
461,BLACK
461,MBE
462,Brooklyn
462,11226
462,BLACK
462,MBE
463,Hoboken
463,7030
463,ASIAN
463,MBE
464,Ozone Park
464,11417
464,ASIAN
464,MBE
465,LBE
465,11378
465,Maspeth
466,Ozone Park
466,11417
466,MBE
466,HISPANIC
467,10310
467,ASIAN
467,MBE
467,Staten Island
468,NON-MINORITY
468,WBE
468,11361
468,Bayside
469,Monsey
469,10952
469,MBE
469,HISPANIC
470,11413
470,Springfield Gardens
470,MBE
470,HISPANIC
471,Bronx
471,BLACK
471,MBE
471,10467
472,NON-MINORITY
472,WBE
472,New York
472,10013
473,11560
473,Lattingtown
473,NON-MINORITY
473,WBE
474,11377
474,Woodside
474,MBE
474,HISPANIC
475,Bronx
475,10467
475,HISPANIC
475,WBE
475,MBE
476,BLACK
476,Brookhaven
476,11719
476,WBE
476,MBE
477,NON-MINORITY
477,2738
477,WBE
477,Marion
478,11232
478,Brooklyn
478,MBE
478,HISPANIC
479,Westbury
479,11590
479,MBE
479,HISPANIC
480,10007
480,New York
480,ASIAN
480,MBE
481,10304
481,NON-MINORITY
481,WBE
481,Staten Island
482,Bronx
482,BLACK
482,MBE
482,10470
483,Howard Beach
483,HISPANIC
483,11414
483,WBE
483,MBE
484,New York
484,10018
484,BLACK
484,MBE
485,Englewood
485,BLACK
485,MBE
485,7631
486,Brooklyn
486,BLACK
486,11216
486,WBE
486,MBE
487,11520
487,Freeport
487,BLACK
487,MBE
488,11722
488,Central Islip
488,MBE
488,HISPANIC
489,10003
489,New York
489,HISPANIC
489,WBE
489,MBE
490,10460
490,Bronx
490,MBE
490,HISPANIC
491,11413
491,BLACK
491,Laurelton
491,MBE
492,Long Island City
492,11101
492,MBE
493,Flushing
493,11354
493,MBE
493,HISPANIC
494,10550
494,BLACK
494,Mount Vernon
494,MBE
495,Brooklyn
495,BLACK
495,11210
495,MBE
496,11208
496,Brooklyn
496,ASIAN
496,MBE
497,BLACK
497,10026
497,New York
497,WBE
497,MBE
498,8558
498,Skillman
498,ASIAN
498,MBE
499,10001
499,New York
499,ASIAN
499,MBE
500,10001
500,New York
500,MBE
